id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,and these comments were considered in formulating the interim rules,the rules developed in the interim were put together with these comments in mind,en,English,0
5b72532a0b,these are issues that we wrestle with in practice groups of law firms she said,practice groups are not permitted to work on these issues,en,English,2
5622f0c60b,you know they can t really defend themselves like somebody grown uh say my age you know yeah,they can t defend themselves because of their age,en,English,0
fdcd1bd867,from cockpit country to st ann s bay,from st ann s bay to cockpit country,en,English,2
7cfb3d272c,look it s your skin but you re going to be in trouble if you don t get busy,the boss will fire you if he sees you slacking off,en,English,1
dd4f0d9f25,if you people only knew how fatally easy it is to poison some one by mistake you wouldn t joke about it,many people have poisoned someone by mistake,en,English,1
0a3f52c547,my own little corner of the world policy wonking is an example,an example is policy wonking,en,English,0
4b0eca3ccb,life in prison then he s available for parole if it s if it s life and a day then he s not eligible for parole so what you know let s quit bsing with the system,the system is corrupt because he won t be able to get parole if it s life and a day,en,English,1
cad235551c,the streets are crammed with vendors selling shrine offerings of sweets curds and coconut as well as garlands and holy images,vendors have lined the streets with torches and fires,en,English,2
d8b3a4fb06,north of mytilini stop at the village of moria where you will find the remains of a huge roman aqueduct surrounded by grazing goats,there is nothing special to see in the village of moria,en,English,2
ad5a79456e,increased saving by current generations would expand the nation s capital stock allowing future generations to better afford the nation s retirement costs while also enjoying higher standards of living,current generations increased saving would expand the nation s capital stock allowing future generations to more easily afford the nation s retirement costs while also enjoying higher standards of living,en,English,0
a7b0b9498c,it s just the beginning,a great journey is about to begin,en,English,1
17c1f14619,britain s best selling tabloid the sun announced as a front page world exclusive friday that texan model jerry hall has started divorce proceedings against aging rock star mick jagger at the high court in london,the sun makes millions every year off fake news,en,English,1
f5f4dc48c1,savonarola burned in florence,florence became savonarola s new home,en,English,2
6a98a077a5,it will be colossal,it will be gigantic,en,English,0
655cc51991,he says men are here,he said that the men were not here,en,English,2
89fdd6de05,yeah uh huh oh yeah petting zoos and things,yes petting and other things,en,English,0
14fa262750,the almost midtown massabielle quarter faubourg de massabielle is sometimes described as the most picturesque in the city,the massabielle quarter is considered the most photogenic,en,English,0
7e89da4ba3,4 not enough is known about how nontransportation costs vary with distance,the ways in which distance affects nontransportation costs is a subject we don t have enough information on,en,English,0
6bb2d551f1,i am surprised though that we do have so many that are in politics down here,i am surprised that not many of them are in politics down here,en,English,2
1589ccaac1,the draft treaty was tommy s bait,the treaty bait was not for tommy,en,English,2
8289cdfc7d,therefore the number of boilermakers may actually grow more quickly than what was assumed,the number of boil makers will decrease drastically as expected,en,English,2
80001fec89,as long as assad lives he can manage these troubles and keep an agreement with israel,as long as assad doesn t die he will be able to take care of the troubles,en,English,0
d999bfa2a1,the four javis children asked severn,severn knows everything about the jarvis children,en,English,1
d4dd5ba80d,my brain refusing to command properly,my brain was not commanding properly,en,English,0
ad4b9214af,so your girl writes that your little farewell activity didn t fare so well eh he chortled,your farewell activity didn t go well,en,English,0
097b4dfe2a,you have to walk through it,you need to pass through it on foot,en,English,0
b0c2761b43,no i exclaimed astonished,no i cried out in shock,en,English,0
37c01740c6,bauerstein had been at styles on the fatal night and added he said twice that alters everything and i ve been thinking,styles is responsible for what happened,en,English,1
3d3149ec45,long ago or away or whatever there was a world called thar and another called erath,erath is the only world that has ever existed,en,English,2
